STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
GRDNE_BESS,505,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
GEORSO_ESS_1,1060,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
GIGA_ESS_BESS_1,1379,125.3,125.3,501.2,250.6,0.96,0.96,SOUTH,fallback_4h
GOMZ_BESS,459,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
GOODWIN_BESS1,326,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
GKS_BESS_BESS1,291,102.5,102.5,410.0,205.0,0.96,0.96,SOUTH,fallback_4h
GREGORY_BESS1,238,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
HAMILTON_BESS,884,9.9,9.9,9.9,4.95,0.96,0.96,WEST,eia860
HEARN_RD_BESS1,1197,9.8,9.8,19.6,9.8,0.96,0.96,COASTAL,fallback_2h
HI_LONEB_BESS1,496,51.1,51.1,102.2,51.1,0.96,0.96,WEST,fallback_2h
HOLCOMB_BESS,1914,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
HLY_BESS1,1498,104.7,104.7,418.8,209.4,0.96,0.96,HOUSTON,fallback_4h
HLY_BESS2,1498,104.7,104.7,418.8,209.4,0.96,0.96,HOUSTON,fallback_4h
HOUSEMTN_BESS1,2989,61.5,61.5,123.0,61.5,0.96,0.96,WEST,fallback_2h
HMNG_ESS_BESS1,2304,100.4,100.4,401.6,200.8,0.96,0.96,NORTH,fallback_4h
INDL_ESS,1597,9.9,9.9,9.9,4.95,0.96,0.96,WEST,eia860
INRT_W_BESS_1,2358,13.0,13.0,26.0,13.0,0.96,0.96,WEST,fallback_2h
JADE_SLR_BESS1,2007,78.5,78.5,157.0,78.5,0.96,0.96,WEST,fallback_2h
JADE_SLR_BESS2,2007,82.3,82.3,164.6,82.3,0.96,0.96,WEST,fallback_2h
JAR_BES1,2112,149.3,149.3,597.2,298.6,0.96,0.96,COASTAL,fallback_4h
JAR_BES2,2112,157.7,157.7,630.8,315.4,0.96,0.96,COASTAL,fallback_4h
JOHNCI_UNIT_1,1379,2.3,2.3,4.6,2.3,0.96,0.96,SOUTH,fallback_2h
JDKNS_BESS,684,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
JUNCTION_BESS,1438,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
JUNORTH1_BES1,1438,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
KB_ESS_KB_ESS,1379,1.5,1.5,3.0,1.5,0.96,0.96,SOUTH,eia860
LIGSW_BESS1,2363,9.9,9.9,19.8,9.9,0.96,0.96,NORTH,fallback_2h
LILY_BESS1,2363,51.7,51.7,80.5,40.25,0.96,0.96,NORTH,eia860
LMO_BESS1,2229,100.4,100.4,401.6,200.8,0.96,0.96,NORTH,fallback_4h
LONESTAR_BESS,462,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
LON_BES1,1248,180.8,180.8,407.4,203.7,0.96,0.96,COASTAL,eia860
LOWR_ESS_BESS1,291,60.4,60.4,120.8,60.4,0.96,0.96,SOUTH,fallback_2h
LUCKYBLU_UNIT1,1875,100.8,100.8,403.2,201.6,0.96,0.96,NORTH,fallback_4h
LFSTH_BESS,934,10.0,10.0,9.9,4.95,0.96,0.96,NORTH,eia860
MADERO_UNIT1,303,100.8,100.8,100.0,50.0,0.96,0.96,SOUTH,eia860
MADERO_UNIT2,303,100.8,100.8,100.0,50.0,0.96,0.96,SOUTH,eia860
MAINLAND_BESS,1157,9.9,9.9,9.9,4.95,0.96,0.96,HOUSTON,eia860
MAYBERRY_BESS2,300,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
MIDWY_BESS1,696,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
MNWLE_BESS,2520,10.0,10.0,9.9,4.95,0.96,0.96,NORTH,eia860
MU_ESS_MU_ESS,1179,1.5,1.5,3.0,1.5,0.96,0.96,SOUTH,fallback_2h
MUENSTER_BESS1,2304,9.9,9.9,19.8,9.9,0.96,0.96,NORTH,fallback_2h
MU_BESS,1179,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
MUSTNGCK_BES1,1,71.5,71.5,143.0,71.5,0.96,0.96,SOUTH,fallback_2h
MYR_BES1,2112,76.9,76.9,153.8,76.9,0.96,0.96,COASTAL,fallback_2h
MYR_BES2,2112,74.3,74.3,148.6,74.3,0.96,0.96,COASTAL,fallback_2h
NOBLESLR_BESS1,2304,63.5,63.5,125.0,62.5,0.96,0.96,NORTH,eia860
NOBLESLR_BESS2,2304,63.5,63.5,125.0,62.5,0.96,0.96,NORTH,eia860
N_ALAMO_BESS,295,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
NCO_ESS1,2112,51.8,51.8,103.6,51.8,0.96,0.96,COASTAL,fallback_2h
NF_BRP_BES1,1060,100.5,100.5,402.0,201.0,0.96,0.96,SOUTH,fallback_4h
N_MERCED_BESS,274,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
NWF_NBS,1646,36.0,36.0,72.0,36.0,0.96,0.96,WEST,fallback_2h
OLNEYTN_BESS,2303,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
PAD1_ESS_BESS1,1346,51.1,51.1,102.2,51.1,0.96,0.96,SOUTH,fallback_2h
PAULN_BESS,2663,10.0,10.0,9.9,4.95,0.96,0.96,NORTH,eia860
PAVLOV_BESS,1188,9.9,9.9,9.9,4.95,0.96,0.96,COASTAL,eia860
PEARSAL3_BES1,1346,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
PHO_BES1,1,152.7,152.7,610.8,305.4,0.96,0.96,SOUTH,fallback_4h
PHO_BES2,1,152.7,152.7,610.8,305.4,0.96,0.96,SOUTH,fallback_4h
PIRATE_BESS1,1197,9.8,9.8,19.6,9.8,0.96,0.96,COASTAL,fallback_2h
PRTLAVS_BESS1,1197,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
PRCRK_BESS1,1878,9.9,9.9,19.8,9.9,0.96,0.96,NORTH,fallback_2h
PYOTE_SWOOSEU1,474,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
PYR_ESS2A,1598,15.1,15.1,30.2,15.1,0.96,0.96,WEST,fallback_2h
PYR_ESS2B,1598,15.1,15.1,30.2,15.1,0.96,0.96,WEST,fallback_2h
PYR_ESS,1598,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
QUEEN_BA_BESS1,496,51.1,51.1,102.2,51.1,0.96,0.96,WEST,fallback_2h
RTLSNAKE_BESS,462,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
MOORE_FL_BESS1,1743,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
PALACIOS_BESS1,1188,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
RPUBRDS_ESS1,1192,51.8,51.8,103.6,51.8,0.96,0.96,NORTH,fallback_2h
RIO_GRAN_BESS2,322,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
RBN_BESS1,1221,101.6,101.6,406.4,203.2,0.96,0.96,HOUSTON,fallback_4h
RVRVLYS_ESS1,1060,51.5,51.5,103.0,51.5,0.96,0.96,SOUTH,fallback_2h
RVRVLYS_ESS2,1060,51.5,51.5,103.0,51.5,0.96,0.96,SOUTH,fallback_2h
RRANCHES_UNIT1,2441,150.4,150.4,600.0,300.0,0.96,0.96,WEST,eia860
RRANCHES_UNIT2,2441,150.4,150.4,600.0,300.0,0.96,0.96,WEST,eia860
ROSELAND_BESS1,664,51.6,51.6,84.5,42.25,0.96,0.96,NORTH,eia860
RUSSEKST_BESS,496,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
