osm_id,osm_type,name,fuel,mw,operator,lat,lon
1331890763,way,,solar,,,26.25597,-98.483316
1340142989,way,Remy Jade Power Station,gas,484.0,ProEnergy Services,29.847725,-95.014783
1346200888,way,,solar,,,30.306508,-97.711444
1350692367,way,,solar,,,29.428809,-98.40349
1350692372,way,,solar,,,29.444292,-98.418808
1352413492,way,River Valley Storage 1 & 2,battery,100.0,Key Capture Storage,30.414776,-97.356616
1369175328,way,Smithville Solar Farm,solar,1.4,,30.020732,-97.16414
1369845520,way,Lantana Point Reserve Peakshaving Unit,gas,,,29.628302,-95.494096
1391720475,way,,,,,27.737029,-97.751699
1392241614,way,,solar,,,30.78541,-97.886044
1422201015,way,,solar,,,29.155409,-98.158946
1424469192,way,,solar,,,29.700934,-95.386567
1432424764,way,Padua 1,battery,50.0,Padua 1,29.33796,-98.325107
1432427451,way,Ebony Energy Storage,battery,200.0,"Ebony Energy Storage, LLC",29.620702,-98.334689
1432429855,way,Wolf Tank Storage,battery,150.0,"Wolf Tank Storage, LLC",27.577172,-99.276232
1434519341,way,,,,,29.756642,-95.01624
1441540447,way,"GulfStar Power, LLC",battery,300.0,"GulfStar Power, LLC",29.191349,-95.96435
1448717354,way,Cachi,battery,200.0,Engie North America,29.653823,-98.014215
1449699432,way,Cameron Wind 1 LLC,battery,16.4,Cameron Wind 1 LLC,26.19667,-97.467327
1449921304,way,Heights,battery,9.9,Engie North America,29.387841,-94.947508
1449921567,way,Mainland,battery,9.9,"HEN Infrastructure, L.L.C.",29.395834,-95.040797
1449922073,way,Alvin,battery,9.9,Engie North America,29.433757,-95.250435
1449922398,way,Angleton,battery,9.9,Engie North America,29.166691,-95.441845
1449922577,way,Brazoria,battery,9.9,Engie North America,29.061688,-95.580434
1449922936,way,Sweeny,battery,9.9,Engie North America,29.05039,-95.685409
1449923282,way,Byrd Ranch Storage,battery,50.0,Byrd Ranch Storage LLC,29.056038,-95.686906
1449923781,way,Tortolas,battery,50.0,Engie North America,29.432695,-95.250602
1449923885,way,TX23 Roughneck Storage,battery,50.0,Key Capture Energy,29.159377,-95.661608
1449926551,way,"Longbow BESS, LLC",battery,174.0,"Longbow BESS, LLC",29.281631,-95.295659
1449926952,way,SMT Ironman Battery Storage Plant,battery,304.0,SMT Ironman BESS LLC,29.455925,-95.311705
1449927176,way,Bocanova Energy Storage,battery,150.0,Bocanova Power LLC,29.434912,-95.251096
1449935482,way,Magnolia TX,battery,9.9,Engie North America,29.489642,-95.13369
1449935646,way,Dickinson,battery,9.9,Engie North America,29.461551,-95.056603
1449936703,way,Madero Grid and Ignacio Grid,battery,200.0,"Madero Grid, LLC and Ignacio Grid LLC",26.16443,-98.323839
1449939902,way,Sealy BESS,battery,200.0,"Sealy Power, LLC",29.847506,-96.199057
1450408622,way,Lopeno,battery,9.9,Engie North America,26.68703,-99.109101
1450410112,way,Zapata,battery,19.8,Engie North America,26.931566,-99.233312
1450410588,way,"Blue Jay Solar I, LLC",battery,51.6,"Blue Jay Solar I, LLC",30.706286,-96.064743
1450414765,way,Carina,battery,150.0,Engie North America,27.819045,-97.5346
1451270166,way,Cutlass Solar II,solar,202.8,Cutlass II Solar LLC,29.421353,-95.740836
1451532233,way,,solar,,,29.244745,-95.277236
1451532234,way,,solar,,,29.243562,-95.26604
1451532235,way,,solar,,,29.256655,-95.25784
1451532236,way,,solar,,,29.25099,-95.260199
1451532237,way,,solar,,,29.247797,-95.270793
1451532238,way,,solar,,,29.259196,-95.266359
1451532239,way,,solar,,,29.256113,-95.272703
1451532242,way,,solar,,,29.260827,-95.261425
1451532243,way,,solar,,,29.26597,-95.255534
1451532244,way,,solar,,,29.263358,-95.25369
1451532245,way,,solar,,,29.25712,-95.241536
1451532246,way,,solar,,,29.261209,-95.247376
1451532247,way,,solar,,,29.257598,-95.25261
1451532248,way,,solar,,,29.251847,-95.24502
1451532249,way,,solar,,,29.238014,-95.255109
1451532250,way,,solar,,,29.227658,-95.254015
1451532251,way,,solar,,,29.227785,-95.265029
1451553833,way,,solar,,,29.239589,-95.428011
1451553834,way,,solar,,,29.242944,-95.42144
1451553835,way,,solar,,,29.236337,-95.41472
1451553836,way,,solar,,,29.233599,-95.429096
1451553837,way,,solar,,,29.229231,-95.421073
1451553838,way,,solar,,,29.236718,-95.38753
1451553839,way,,solar,,,29.234754,-95.40242
