GEOID,population,lat,lng
48029191702,7276,29.598005,-98.4944432
48029191804,11588,29.7202361,-98.4914508
48029191806,9540,29.6162083,-98.5358265
48029191807,11668,29.6108182,-98.5827567
48029191808,5933,29.656996,-98.4657664
48029191809,8902,29.682333,-98.4892452
48029191810,6170,29.675663,-98.4649884
48029191811,5765,29.6493355,-98.5130195
48029191812,4304,29.6551647,-98.487761
48029191813,7271,29.6451452,-98.4994394
48029191814,6143,29.7029227,-98.4664333
48029191815,5248,29.6295576,-98.5085688
48029191816,3184,29.6177113,-98.4965825
48029191818,4781,29.6214798,-98.4785675
48029191819,8972,29.6384619,-98.4735409
48029191900,4528,29.4280861,-98.4704178
48029192000,5233,29.4600994,-98.4693865
48029192100,2724,29.4083684,-98.493617
48029192200,3186,29.3478758,-98.4648118
48029192300,5055,29.5664569,-98.5015613
48029980001,3,29.6858707,-98.5638545
48029980002,0,29.3764255,-98.5460439
48029980003,889,29.3724905,-98.666017
48029980004,1,29.5369298,-98.4680109
48029980005,65,29.5782334,-98.7484151
48029980100,1083,29.3897891,-98.582398
48031950101,2627,30.226891,-98.48749
48031950102,2396,30.3672889,-98.3769802
48031950201,3631,30.0814491,-98.3382135
48031950202,2720,30.0864441,-98.4579625
48033950100,631,32.7385899,-101.439199
48035950100,4197,32.0373257,-97.7283456
48035950200,1421,31.923392,-97.6576993
48035950300,1792,31.9262747,-97.5557507
48035950400,3733,31.8412492,-97.421528
48035950500,3004,31.7826581,-97.5776946
48035950600,1694,31.8850392,-97.4330803
48035950700,2394,31.6626113,-97.5404298
48037010100,4945,33.4506077,-94.04931
48037010400,3883,33.4041305,-94.0751332
48037010500,2911,33.4270587,-94.0560366
48037010600,2049,33.4362572,-94.0657208
48037010700,4644,33.4545201,-94.0660894
48037010800,4500,33.4372229,-94.0868595
48037010903,3231,33.473635,-94.0621756
48037010904,4307,33.4770182,-94.0957397
48037010905,3037,33.4486679,-94.1260653
48037010906,5144,33.4665585,-94.1225007
48037011001,3145,33.4271609,-94.1415467
48037011002,4639,33.4289607,-94.1139619
48037011101,3616,33.3815449,-94.1174199
48037011102,3130,33.3722584,-94.0717899
48037011201,3832,33.5192379,-94.1267391
48037011202,2557,33.443461,-94.1845504
48037011301,2967,33.4683262,-94.2620806
48037011302,2220,33.476741,-94.2903086
48037011402,2118,33.3104217,-94.293601
48037011403,3475,33.3198321,-94.1205271
48037011404,4525,33.3735101,-94.3368229
48037011501,7870,33.4494554,-94.4805444
48037011502,2789,33.5338588,-94.4344351
48037011601,2629,33.4833979,-94.6615161
48037011602,2387,33.5782846,-94.6102057
48037011700,2343,33.3515555,-94.5970525
48039660100,4445,29.5504341,-95.2321366
48039660200,5897,29.5125484,-95.2372446
48039660301,3901,29.5540682,-95.2722731
48039660302,2844,29.5436778,-95.2605785
48039660303,4243,29.5338863,-95.2555403
48039660401,2853,29.5828918,-95.2790685
48039660402,4531,29.572461,-95.2714109
48039660403,3883,29.56968,-95.262198
48039660501,2978,29.573294,-95.3396101
48039660502,4294,29.5713398,-95.3168834
48039660503,2764,29.5761956,-95.2978552
48039660504,1548,29.5907399,-95.3181463
48039660603,3279,29.5789242,-95.4040027
48039660604,4179,29.5617665,-95.4236631
48039660605,6132,29.567196,-95.4158248
48039660606,3208,29.5643399,-95.403139
48039660607,5677,29.5667163,-95.3939436
48039660608,2666,29.581217,-95.3729195
48039660609,4374,29.5748055,-95.3640155
48039660610,5476,29.5630782,-95.3693391
48039660611,5633,29.5442413,-95.4212453
48039660612,3523,29.5496639,-95.3996897
48039660613,4347,29.5248079,-95.428106
48039660614,6880,29.5054134,-95.4308268
48039660615,5457,29.5051909,-95.4050997
48039660616,5234,29.5367758,-95.4005437
48039660703,5030,29.5486335,-95.3772785
48039660704,5248,29.5493583,-95.3580808
48039660705,5890,29.5503564,-95.3395385
48039660706,4955,29.5391023,-95.376281
48039660707,4457,29.5355357,-95.3482158
48039660708,7364,29.5046914,-95.360749
48039660803,4028,29.5500819,-95.3225756
48039660804,4314,29.5526175,-95.2960894
48039660805,5125,29.5380147,-95.3123777
48039660806,3009,29.5431903,-95.290656
48039660901,2200,29.4912815,-95.2785257
48039660902,6689,29.5222153,-95.2904065
48039661000,8562,29.4662738,-95.2975539
48039661100,3705,29.440987,-95.2284339
48039661200,4310,29.4151029,-95.2378388
48039661300,2495,29.4282483,-95.2581637
48039661400,7187,29.4090857,-95.2599056
48039661501,4912,29.4317325,-95.3142415
48039661502,4825,29.385914,-95.3100312
48039661601,6155,29.3911211,-95.2134101
48039661602,3428,29.3518648,-95.2516063
48039661700,3022,29.2214927,-95.1830979
48039661800,8721,29.3734447,-95.3859696
48039661901,8024,29.3184097,-95.499633
48039661902,10188,29.404272,-95.4905907
48039662000,6637,29.2270117,-95.6827862
48039662100,6575,29.1980581,-95.5107018
48039662200,6807,29.2652414,-95.4103622
48039662300,4688,29.1754543,-95.4229453
48039662400,5686,29.2073263,-95.3470312
48039662500,3149,29.1173921,-95.5416366
