osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
493526366,way,Mason Phillips Substation,69.0,,industrial,30.546484,-99.269133
493526368,way,Puncher Substation,69.0,,industrial,30.562631,-99.260949
493526425,way,Streeter Substation,138.0,Central Texas Electric Cooperative,distribution,30.763791,-99.411131
493526431,way,Shell London Substation,69.0,American Electric Power,industrial,30.645738,-99.592848
493526435,way,Hornet Substation,69.0,,industrial,30.687055,-99.823756
493526438,way,Menard Phillips Substation,69.0,,industrial,30.683007,-99.823807
493526450,way,Junction Substation,69.0,American Electric Power,distribution,30.492388,-99.770677
493526474,way,Junction Substation,69.0,Pedernales Electric Cooperative,distribution,30.515096,-99.76953
493666715,way,Camp San Saba Substation,69.0,Lower Colorado River Authority,distribution,30.960236,-99.281691
493666718,way,Katemcy Substation,69.0,American Electric Power,compensation,30.959748,-99.281718
493666730,way,Brady Substation,69.0,American Electric Power,distribution,31.135207,-99.341599
493666737,way,North Brady Substation,69.0,American Electric Power,compensation,31.155566,-99.336196
493747047,way,Cincinnati Substation,138.0,Brazos Electric,distribution,30.849706,-95.51908
494437114,way,Bulverde Substation,138.0,CPS Energy,distribution,29.731567,-98.441317
494445035,way,Blossom Substation,138.0,CPS Energy,distribution,29.546664,-98.459377
496987856,way,Greens Prairie Substation,138.0,Bryan Texas Utilities,distribution,30.553716,-96.257604
496987872,way,Dobbin Substation,138.0,Entergy,distribution,30.350764,-95.781474
496987883,way,,138.0,,industrial,30.369894,-96.093928
496987884,way,Mockingbird Substation,138.0,Entergy,transmission,30.370237,-96.093941
496987889,way,Spring Branch Substation,138.0,Brazos Electric,distribution,30.333288,-95.698661
496987896,way,Independence Substation,69.0,Entergy,distribution,30.315763,-96.405773
496987900,way,Caldwell Industrial Substation,69.0,Entergy,distribution,30.527166,-96.713775
496987939,way,,138.0,,industrial,30.726059,-96.448383
496987940,way,Triangle Park Substation,138.0,Bryan Texas Utilities,transmission,30.725409,-96.449367
496987964,way,Carlos Substation,138.0,Brazos Electric,industrial,30.592776,-96.100095
496987985,way,Kurten Substation,138.0,Bryan Texas Utilities,distribution,30.799794,-96.293032
496987992,way,Speedway Substation,138.0,Entergy,distribution,30.541947,-96.216515
496988001,way,Bryan Substation,138.0,Entergy,transmission,30.744445,-96.409795
496988045,way,Bedias Substation,138.0,Brazos Electric,distribution,30.670643,-95.987459
497732799,way,Industrial Park Substation,69.0,Bryan Texas Utilities,distribution,30.655871,-96.407792
497732814,way,North Substation,69.0,Bryan Texas Utilities,distribution,30.691204,-96.394546
498385594,way,Harlingen Switching Station,138.0,American Electric Power,transmission,26.222281,-97.698335
499953729,way,,230.0,,industrial,29.762261,-93.929185
501854959,way,East Harrison Substation,69.0,American Electric Power,distribution,26.191337,-97.665118
501854961,way,Oleander Substation,138.0,American Electric Power,transmission,26.206661,-97.664646
503489846,way,Harlingen #1 Substation,69.0,American Electric Power,distribution,26.206834,-97.709084
503901453,way,,69.0,Dow Chemical,industrial,28.512541,-96.767029
