Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
2061,OSM_2061,SPL_2061,345.0,PQ,0.0,0.0,3,3,SOUTH,31.04655,-96.85895,1441534767.0,False
2062,OSM_2062,SPL_2062,138.0,PQ,0.0,0.0,3,3,SOUTH,30.57298,-97.07996,1441534268.0,False
2063,OSM_2063,SPL_2063,345.0,PQ,0.0,0.0,3,3,SOUTH,30.54527,-97.52165,1441533197.0,False
2064,OSM_2064,SPL_2064,345.0,PQ,0.0,0.0,3,3,SOUTH,26.66968,-99.01763,1432433081.0,False
2065,OSM_2065,SPL_2065,138.0,PQ,0.0,0.0,3,3,SOUTH,29.33783,-98.32442,1432424765.0,False
2066,OSM_2066,SPL_2066,138.0,PQ,0.0,0.0,3,3,SOUTH,29.27034,-98.47943,1428418583.0,False
2067,OSM_2067,SPL_2067,345.0,PQ,0.0,0.0,3,3,SOUTH,29.27816,-98.57211,1428417852.0,False
2068,OSM_2068,SPL_2068,138.0,PQ,0.0,0.0,1,1,NORTH,32.99325,-95.17328,1421400428.0,False
2069,OSM_2069,SPL_2069,138.0,PQ,0.0,0.0,1,1,NORTH,32.64562,-97.31375,1391082805.0,False
2070,OSM_2070,SPL_2070,138.0,PQ,0.0,0.0,3,3,SOUTH,29.24261,-99.74222,1378736024.0,False
2071,OSM_2071,SPL_2071,345.0,PQ,0.0,0.0,1,1,NORTH,31.7235,-96.8477,1365652133.0,False
2072,OSM_2072,SPL_2072,345.0,PQ,0.0,0.0,1,1,NORTH,31.74359,-96.88685,1365652131.0,False
2073,OSM_2073,SPL_2073,345.0,PQ,0.0,0.0,4,4,WEST,30.95874,-101.596,1365619568.0,False
2074,OSM_2074,SPL_2074,345.0,PQ,0.0,0.0,4,4,WEST,30.96582,-101.5858,1365618625.0,False
2075,OSM_2075,SPL_2075,138.0,PQ,0.0,0.0,1,1,NORTH,32.67802,-96.8832,1364144243.0,False
2076,OSM_2076,SPL_2076,138.0,PQ,0.0,0.0,1,1,NORTH,33.05828,-96.83123,1363954467.0,False
2077,OSM_2077,SPL_2077,138.0,PQ,0.0,0.0,1,1,NORTH,32.82885,-96.11286,1362436199.0,False
2078,OSM_2078,SPL_2078,138.0,PQ,0.0,0.0,1,1,NORTH,32.79356,-95.987,1362385169.0,False
2079,OSM_2079,SPL_2079,138.0,PQ,0.0,0.0,1,1,NORTH,33.14194,-96.23604,1362067056.0,False
2080,OSM_2080,SPL_2080,138.0,PQ,0.0,0.0,1,1,NORTH,33.0176,-96.41957,1362050200.0,False
2081,OSM_2081,SPL_2081,138.0,PQ,0.0,0.0,1,1,NORTH,33.01262,-96.42149,1362050196.0,False
2082,OSM_2082,SPL_2082,138.0,PQ,0.0,0.0,1,1,NORTH,32.90843,-96.7108,1362011207.0,False
2083,OSM_2083,SPL_2083,138.0,PQ,0.0,0.0,1,1,NORTH,32.91121,-96.74183,1360485802.0,False
2084,OSM_2084,SPL_2084,138.0,PQ,0.0,0.0,1,1,NORTH,32.94299,-96.82615,1360481176.0,False
2085,OSM_2085,SPL_2085,138.0,PQ,0.0,0.0,1,1,NORTH,32.80427,-96.46413,1360467528.0,False
2086,OSM_2086,SPL_2086,138.0,PQ,0.0,0.0,1,1,NORTH,32.66772,-96.61375,1360421629.0,False
2087,OSM_2087,SPL_2087,138.0,PQ,0.0,0.0,1,1,NORTH,32.60383,-96.69555,1360419211.0,False
2088,OSM_2088,SPL_2088,138.0,PQ,0.0,0.0,1,1,NORTH,32.6412,-96.64611,1360419209.0,False
2089,OSM_2089,SPL_2089,138.0,PQ,0.0,0.0,1,1,NORTH,32.73045,-96.6534,1360245091.0,False
2090,OSM_2090,SPL_2090,138.0,PQ,0.0,0.0,1,1,NORTH,32.73121,-96.65541,1360245089.0,False
2091,OSM_2091,SPL_2091,138.0,PQ,0.0,0.0,1,1,NORTH,32.79925,-96.68744,1360243782.0,False
2092,OSM_2092,SPL_2092,138.0,PQ,0.0,0.0,1,1,NORTH,32.5314,-96.85126,1360221299.0,False
2093,OSM_2093,SPL_2093,138.0,PQ,0.0,0.0,1,1,NORTH,32.52088,-97.01923,1356304382.0,False
2094,OSM_2094,SPL_2094,138.0,PQ,0.0,0.0,1,1,NORTH,32.51938,-97.00682,1356304380.0,False
2095,OSM_2095,SPL_2095,138.0,PQ,0.0,0.0,1,1,NORTH,32.51378,-96.97562,1356304379.0,False
2096,OSM_2096,SPL_2096,138.0,PQ,0.0,0.0,1,1,NORTH,32.72427,-97.03161,1356294644.0,False
2097,OSM_2097,SPL_2097,138.0,PQ,0.0,0.0,1,1,NORTH,32.74393,-96.80264,1356060807.0,False
2098,OSM_2098,SPL_2098,138.0,PQ,0.0,0.0,1,1,NORTH,32.74058,-96.92907,1356057877.0,False
2100,OSM_2100,SPL_2100,138.0,PQ,0.0,0.0,1,1,NORTH,32.89225,-96.90732,1355844441.0,False
2101,OSM_2101,SPL_2101,138.0,PQ,0.0,0.0,1,1,NORTH,32.97169,-96.9173,1354536089.0,False
2102,OSM_2102,SPL_2102,138.0,PQ,0.0,0.0,1,1,NORTH,32.90831,-97.4681,1354524056.0,False
2103,OSM_2103,SPL_2103,138.0,PQ,0.0,0.0,1,1,NORTH,33.03919,-97.41118,1354470954.0,False
2104,OSM_2104,SPL_2104,138.0,PQ,0.0,0.0,1,1,NORTH,32.81902,-97.09652,1354299305.0,False
2105,OSM_2105,SPL_2105,138.0,PQ,0.0,0.0,1,1,NORTH,32.75706,-97.16192,1354294355.0,False
