ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
AJO,27.091938,-97.774271,osm,high,100,Ajo Switching Station,LZ_SOUTH,345.0,,174713049,
AJ_SWOPE,35.313269,-102.05026,osm,high,100,AJ Swope Substation,LZ_WEST,345.0,,453589249,
AK,32.104125,-100.162375,propagated,low,0,,LZ_HOUSTON,138.0,,,HOLSTEIN
AL,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
ALAMO_ST,30.993056,-102.270833,eia860,medium,85.5,Alamo 6,LZ_WEST,138.0,59206,,
ALAZAN,27.559909,-97.502273,osm,high,100,Alazan Substation,LZ_SOUTH,138.0,,487230433,
ALBANY,32.723661,-99.292675,osm,high,100,Albany Substation,LZ_WEST,69.0,,518641181,
ALBERTA,26.250217,-98.135837,osm,high,100,Alberta Switching Station,LZ_SOUTH,138.0,,513155571,
ALBNY_FD,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
ALCAT,29.53742,-100.896089,propagated,low,0,,LZ_WEST,138.0,,,ROUGH
ALCOA,28.657449,-96.557824,osm,high,100,Alcoa Substation,LZ_SOUTH,138.0,,337764372,
ALCON,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES
ALCORN,33.543862,-100.897118,propagated,low,0,,LZ_NORTH,69.0,,,ESPULA9
ALDTU,30.479567,-97.781526,propagated,low,0,,LZ_NORTH,138.0,,,JOLLYVIL
ALEDO,31.79261,-100.69729,propagated,low,0,,LZ_NORTH,138.0,,,AVIATOR
ALGODON,29.271,-98.456,propagated,low,0,,LZ_SOUTH,345.0,,,BEXAR_ES
ALHUB_RC,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2
ALIBATES,35.255119,-101.360029,osm,high,100,Alibates Substation,LZ_WEST,345.0,,453589128,
ALICE,27.729767,-98.087382,osm,high,100.0,Alice Substation,LZ_SOUTH,69.0,,490190295,
ALIGNDCT,32.128234,-101.818895,propagated,low,0,,LZ_NORTH,138.0,,,TRIANGLE
ALIQUING,32.713595,-103.301752,propagated,low,0,,LZ_SOUTH,138.0,,,MADDUX
ALISN,33.345366,-99.624257,propagated,low,0,,LZ_NORTH,138.0,,,WILLOW
ALK,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
ALKLK,32.211294,-101.818995,propagated,low,0,,LZ_WEST,138.0,,,STANT
ALLEN,33.060255,-96.699995,osm,high,100.0,Allen Switching Station,LZ_NORTH,138.0,,172032306,
ALLNC,33.060255,-96.699995,osm,medium,87.4,Allen Switching Station,LZ_NORTH,345.0,,172032306,
ALMC,28.9275,-99.0919,propagated,low,0,,LZ_WEST,138.0,,,PEARSALL
ALNSW,32.865417,-97.099401,propagated,low,0,,LZ_NORTH,345.0,,,EULES
ALNTH,25.977182,-97.384493,propagated,low,0,,LZ_NORTH,138.0,,,LOMA_ALT
ALN_CRK,32.311556,-100.061589,propagated,low,0,,LZ_WEST,345.0,,,BUFFALO
ALOES,28.780348,-97.070299,osm,high,95.6,Aloe Substation,LZ_SOUTH,69.0,,515325950,
ALPHA,35.255119,-101.360029,propagated,low,0,,LZ_NORTH,138.0,,,ALIBATES
ALPHA_VA,26.167627,-98.097755,propagated,low,0,,LZ_SOUTH,138.0,,,ELGATO
ALPINE,30.355662,-103.663282,osm,high,100,Alpine Substation,LZ_WEST,69.0,,369957325,
ALPR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
ALP_BESS,25.977182,-97.384493,propagated,low,0,,LZ_WEST,138.0,,,LOMA_ALT
ALTAIR,29.564375,-96.462393,osm,high,100,Altair Substation,LZ_SOUTH,69.0,,520305244,
ALTON_MV,26.269034,-98.292886,osm,high,95.4,Alton Substation,LZ_SOUTH,138.0,,512644942,
ALTUDA,30.235766,-103.438054,osm,high,100,Altuda Substation,LZ_WEST,69.0,,503331184,
ALUMCR,30.065903,-97.233044,osm,medium,84.1,Alum Creek Substation,LZ_SOUTH,138.0,,467847272,
ALVDO,32.396344,-97.223527,osm,medium,85.3,Alvarado Substation,LZ_NORTH,138.0,,342357912,
ALVIN,29.433245,-95.249367,eia860,high,100.0,Alvin,LZ_HOUSTON,138.0,64293,,
ALVRD,32.396344,-97.223527,osm,medium,85.3,Alvarado Substation,LZ_NORTH,138.0,,342357912,
ALYNT,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
AM,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
AMADEUS1,32.96736,-100.56428,eia860,high,94.6,Amadeus Wind Farm,LZ_WEST,345.0,62142,,
