GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),MW Break 1,MWh Price 1
TI_SOLAR_UNIT1,3402,Solar,S,Solar,0.0,136.8,0,0,136.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TI_SOLAR_UNIT2,3402,Solar,S,Solar,0.0,131.1,0,0,131.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ERATH_ERATH21,704,Solar,S,Solar,0.0,10.0,0,0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TRN_TRINITYBAY,2897,Solar,S,Solar,0.0,1.5,0,0,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TNS_SLR_UNIT1,615,Solar,S,Solar,0.0,119.4,0,0,119.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TNS_SLR_UNIT2,615,Solar,S,Solar,0.0,119.5,0,0,119.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TYSN_SLR_UNIT1,3603,Solar,S,Solar,0.0,90.5,0,0,90.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
VANCOURT_UNIT1,539,Solar,S,Solar,0.0,45.7,0,0,45.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
VISION_UNIT1,3627,Solar,S,Solar,0.0,129.2,0,0,129.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WGU_UNIT1,3675,Solar,S,Solar,0.0,120.0,0,0,120.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WLNTSPRG_1UNIT,702,Solar,S,Solar,0.0,10.0,0,0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WAYMARK_UNIT1,205,Solar,S,Solar,0.0,182.0,0,0,182.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WEBBER_S_WSP1,1273,Solar,S,Solar,0.0,26.7,0,0,26.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WMOOREII_WMOOREII,3281,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
W_PECOS_UNIT1,3723,Solar,S,Solar,0.0,100.0,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WES_UNIT1,3421,Solar,S,Solar,0.0,101.6,0,0,101.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WES_UNIT2,3421,Solar,S,Solar,0.0,101.6,0,0,101.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WBORO_WHTSBORO,3281,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WBOROII_WHBOROII,3281,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WHTRT_WHTRGHT,3645,Solar,S,Solar,0.0,10.0,0,0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ADL_SOLAR1,3014,Solar,S,Solar,0.0,60.1,0,0,60.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
YLWJACKET_YLWJACKET,702,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ZIER_SLR_PV1,50,Solar,S,Solar,0.0,161.3,0,0,161.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ANSON2_UNIT1,373,Solar,S,Solar,0.0,200.9,0,0,200.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AZSP_SLR_SOLAR1,116,Solar,S,Solar,0.0,181.0,0,0,181.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BAKE_SLR_UNIT1,3603,Solar,S,Solar,0.0,234.8,0,0,234.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BAKE_SLR_UNIT2,3603,Solar,S,Solar,0.0,234.6,0,0,234.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BART_SLR_SOLAR1,3265,Solar,S,Solar,0.0,125.8,0,0,125.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BIG_STAR_UNIT1,1273,Solar,S,Solar,0.0,132.3,0,0,132.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BIG_STAR_UNIT2,1273,Solar,S,Solar,0.0,70.8,0,0,70.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BLVN_SLR_SOLAR2,615,Solar,S,Solar,0.0,132.0,0,0,132.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BLVN_SLR_SOLAR3,615,Solar,S,Solar,0.0,139.7,0,0,139.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BLUEJAY_UNIT1,3418,Solar,S,Solar,0.0,69.0,0,0,69.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BLUEJAY_UNIT2,3418,Solar,S,Solar,0.0,141.0,0,0,141.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
