UID,From Bus,To Bus,R,X,B,Cont Rating
L1590_1891,1590,1891,0.0,0.00717648,0.0,2400
L2063_2064,2063,2064,0.0,0.00033641,0.0,2400
L832_838,832,838,0.0,0.00635831,0.0,2400
L814_3066,814,3066,0.0,0.00788616,0.0,999999
L2357_2358,2357,2358,0.0,0.00336991,0.0,2400
L1738_3043,1738,3043,0.0,0.00212377,0.0,999999
L1722_1747,1722,1747,0.0,0.00060913,0.0,2400
L1910_3047,1910,3047,0.0,0.00017746,0.0,999999
L862_872,862,872,0.0,0.01098967,0.0,2400
L812_828,812,828,0.0,0.00667991,0.0,2400
L514_3068,514,3068,0.0,0.00015603,0.0,999999
L518_2731,518,2731,0.0,8.499e-05,0.0,999999
L822_2311,822,2311,0.0,0.0194424,0.0,2400
L3086_3101,3086,3101,0.0,0.00010497,0.0,999999
L1909_3077,1909,3077,0.0,0.00340288,0.0,999999
L3091_3092,3091,3092,0.0,0.00010051,0.0,999999
L1891_3080,1891,3080,0.0,0.00274947,0.0,999999
L825_3063,825,3063,0.0,0.01683238,0.0,999999
L2136_2137,2136,2137,0.0,0.001472,0.0,2400
L519_809,519,809,0.0,0.00257371,0.0,2400
L1623_2124,1623,2124,0.0,0.0055942,0.0,2400
L117_1511,117,1511,0.0,0.00132201,0.0,2400
L2360_2362,2360,2362,0.0,0.00148506,0.0,2400
L2309_2310,2309,2310,0.0,0.00262302,0.0,2400
L3119_3121,3119,3121,0.0,0.00012263,0.0,999999
L2952_3036,2952,3036,0.0,0.0017291,0.0,2400
L753_1577,753,1577,0.0,0.00921889,0.0,2400
L2317_2319,2317,2319,0.0,0.00139256,0.0,2400
L371_1847,371,1847,0.0,0.00014743,0.0,999999
L2363_2364,2363,2364,0.0,0.00301259,0.0,2400
L26_1488,26,1488,0.0,0.01160753,0.0,2400
L1561_2964,1561,2964,0.0,0.01789674,0.0,2400
L816_2267,816,2267,0.0,0.00016913,0.0,999999
L1584_2450,1584,2450,0.0,8.127e-05,0.0,999999
L1693_3060,1693,3060,0.0,0.00012326,0.0,999999
L194_2415,194,2415,0.0,8.429e-05,0.0,999999
L801_1633,801,1633,0.0,0.01396887,0.0,2400
L1719_3057,1719,3057,0.0,0.00220145,0.0,999999
L788_2406,788,2406,0.0,0.00207925,0.0,2400
L814_2267,814,2267,0.0,0.03558917,0.0,2400
L824_2270,824,2270,0.0,0.0108611,0.0,2400
L2282_2283,2282,2283,0.0,0.00663818,0.0,2400
L862_2111,862,2111,0.0,0.00650556,0.0,2400
L3092_3094,3092,3094,0.0,0.00013846,0.0,999999
L2391_3038,2391,3038,0.0,0.00094294,0.0,999999
L525_837,525,837,0.0,0.00173333,0.0,2400
L1565_2965,1565,2965,0.0,0.00012291,0.0,999999
L991_2431,991,2431,0.0,0.00054759,0.0,2400
L1540_1743,1540,1743,0.0,0.00351979,0.0,2400
L2283_2346,2283,2346,0.0,0.00566811,0.0,2400
L1891_3034,1891,3034,0.0,0.00513564,0.0,2400
L2615_3117,2615,3117,0.0,0.0008549,0.0,999999
L1628_3096,1628,3096,0.0,0.00248437,0.0,999999
L1739_1807,1739,1807,0.0,0.008824,0.0,2400
L819_2287,819,2287,0.0,0.00016861,0.0,999999
L2054_2111,2054,2111,0.0,0.01667194,0.0,2400
L1013_1791,1013,1791,0.0,0.00832826,0.0,2400
L577_819,577,819,0.0,0.01125723,0.0,2400
L3077_3080,3077,3080,0.0,0.00015537,0.0,999999
