uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L795_2049,795,2049,345.0,24.93,2400.0,0.00670355
L1583_1584,1583,1584,345.0,43.07,2400.0,0.01157909
L1818_1845,1818,1845,345.0,105.28,2400.0,0.02830335
L1571_2969,1571,2969,345.0,64.25,2400.0,0.01727393
L850_2054,850,2054,345.0,36.5,2400.0,0.00981406
L5_182,5,182,345.0,2.53,2400.0,0.00068034
L31_32,31,32,345.0,69.64,2400.0,0.01872262
L643_644,643,644,345.0,0.35,1200,9.533e-05
L2042_3109,2042,3109,345.0,19.12,1200,0.00514009
L794_2389,794,2389,345.0,12.96,2400.0,0.00348515
L3113_3117,3113,3117,345.0,2.49,1200,0.00067057
L1937_3029,1937,3029,345.0,0.74,1200,0.00019992
L10_753,10,753,345.0,18.45,2400.0,0.00495952
L1598_2436,1598,2436,345.0,0.39,1200,0.00010488
L580_2311,580,2311,345.0,4.16,2400.0,0.00111753
L1578_2115,1578,2115,345.0,55.53,2400.0,0.01492965
L1522_1761,1522,1761,345.0,11.15,2400.0,0.0029979
L182_2320,182,2320,345.0,23.46,2400.0,0.0063067
L1605_3062,1605,3062,345.0,46.6,1200,0.01252969
L2113_3019,2113,3019,345.0,9.46,2400.0,0.00254446
L1622_3103,1622,3103,345.0,8.74,1200,0.00235039
L3111_3112,3111,3112,345.0,0.38,1200,0.00010165
L1637_1638,1637,1638,345.0,74.75,2400.0,0.02009741
L3048_3049,3048,3049,345.0,78.15,1200,0.02101071
L3041_3044,3041,3044,345.0,1.07,1200,0.00028734
L2279_3137,2279,3137,345.0,1.76,1200,0.00047344
L1409_1807,1409,1807,345.0,15.09,2400.0,0.00405571
L1754_3083,1754,3083,345.0,49.81,1200,0.01339037
L2984_3012,2984,3012,345.0,6.02,2400.0,0.00161963
L2312_3072,2312,3072,345.0,19.5,1200,0.00524348
L2064_2282,2064,2282,345.0,11.77,2400.0,0.0031652
L3061_3070,3061,3070,345.0,0.57,1200,0.00015454
L1558_3122,1558,3122,345.0,26.25,1200,0.00705688
L182_2137,182,2137,345.0,13.38,2400.0,0.00359682
L44_491,44,491,345.0,63.24,2400.0,0.01700336
L1691_1837,1691,1837,345.0,14.84,2400.0,0.00398894
L3086_3103,3086,3103,345.0,0.47,1200,0.00012592
L1615_3105,1615,3105,345.0,5.07,1200,0.00136335
L1847_2534,1847,2534,345.0,26.01,1200,0.00699362
L2229_2274,2229,2274,345.0,7.13,2400.0,0.0019156
L2366_2382,2366,2382,345.0,15.02,2400.0,0.00403839
L1623_3086,1623,3086,345.0,27.6,1200,0.00741965
L2061_2062,2061,2062,345.0,4.32,2400.0,0.00116257
L1511_1937,1511,1937,345.0,30.65,2400.0,0.00823994
L788_2282,788,2282,345.0,88.21,2400.0,0.02371528
L1554_1555,1554,1555,345.0,7.19,2400.0,0.00193302
L792_3130,792,3130,345.0,37.26,1200,0.01001758
L1738_1739,1738,1739,345.0,3.49,2400.0,0.00093815
L4_819,4,819,345.0,97.69,2400.0,0.0262635
L19_2062,19,2062,345.0,0.88,1200,0.00023752
L1487_2372,1487,2372,345.0,62.44,2400.0,0.01678645
L643_1525,643,1525,345.0,9.25,2400.0,0.00248655
L2042_3079,2042,3079,345.0,0.75,1200,0.00020252
L202_1613,202,1613,345.0,24.02,2400.0,0.00645684
L1578_1605,1578,1605,345.0,56.73,2400.0,0.01525236
L1522_1770,1522,1770,138.0,13.61,2400.0,0.00365848
L808_1606,808,1606,345.0,37.58,2400.0,0.01010358
L94_3056,94,3056,345.0,14.75,1200,0.00396527
L2409_2410,2409,2410,345.0,0.43,1200,0.00011555
L832_1604,832,1604,345.0,50.41,2400.0,0.0135526
L345_346,345,346,345.0,11.18,2400.0,0.0030056
L577_578,577,578,345.0,13.48,2400.0,0.00362484
L1623_2352,1623,2352,345.0,62.71,2400.0,0.01686017
L837_2448,837,2448,345.0,2.74,2400.0,0.00073558
L1525_1527,1525,1527,345.0,11.93,2400.0,0.00320767
L2506_2507,2506,2507,345.0,15.58,2400.0,0.00418887
L791_1633,791,1633,345.0,35.22,2400.0,0.00946921
L68_2385,68,2385,345.0,61.15,2400.0,0.01643941
L3130_3131,3130,3131,345.0,0.37,1200,9.858e-05
L1567_1909,1567,1909,345.0,115.91,2400.0,0.03116326
L2959_3124,2959,3124,345.0,2.71,1200,0.00072858
L837_1578,837,1578,345.0,37.93,2400.0,0.01019852
L1818_2137,1818,2137,345.0,16.07,2400.0,0.00432051
L94_331,94,331,345.0,6.05,2400.0,0.00162545
L2255_3139,2255,3139,345.0,0.49,1200,0.00013048
L1845_2259,1845,2259,345.0,39.39,2400.0,0.01059023
L1613_1614,1613,1614,345.0,9.09,2400.0,0.00244391
L1683_1687,1683,1687,345.0,0.38,1200,0.00010328
L809_828,809,828,345.0,15.81,2400.0,0.00425075
L1919_3104,1919,3104,345.0,8.66,1200,0.00232778
L3122_3123,3122,3123,345.0,15.85,1200,0.00426039
L2415_3142,2415,3142,345.0,21.18,1200,0.00569546
L812_3066,812,3066,345.0,0.96,1200,0.00025722
L117_1505,117,1505,345.0,12.4,2400.0,0.0033328
L2438_2439,2438,2439,345.0,18.62,2400.0,0.00500729
L2983_3117,2983,3117,345.0,9.58,1200,0.0025751
L1483_2373,1483,2373,345.0,41.99,2400.0,0.01128829
L2309_2440,2309,2440,345.0,48.65,2400.0,0.01308016
L164_3040,164,3040,345.0,48.73,1200,0.01310036
L1546_2576,1546,2576,345.0,1.18,2400.0,0.00031748
L51_1684,51,1684,138.0,13.32,2400.0,0.00358018
L1552_1553,1552,1553,345.0,0.74,1200,0.00019865
L1574_2392,1574,2392,345.0,27.79,2400.0,0.00747196
L1722_1752,1722,1752,345.0,13.3,2400.0,0.0035757
L1541_1742,1541,1742,345.0,23.57,2400.0,0.0063369
L830_838,830,838,345.0,10.11,2400.0,0.00271721
L3136_3137,3136,3137,345.0,0.64,1200,0.00017145
L3080_3081,3080,3081,345.0,0.33,1200,8.806e-05
L3046_3048,3046,3048,345.0,1.11,1200,0.00029962
L1569_3081,1569,3081,345.0,1.72,1200,0.00046224
L16_2308,16,2308,345.0,22.94,2400.0,0.00616706
L1621_3101,1621,3101,345.0,37.74,1200,0.01014673
L3115_3116,3115,3116,345.0,0.4,1200,0.00010665
L3102_3145,3102,3145,345.0,0.3,1200,8.078e-05
L1517_1682,1517,1682,345.0,13.22,2400.0,0.00355351
L2373_2375,2373,2375,345.0,6.7,2400.0,0.0018019
L1662_3049,1662,3049,345.0,1.17,1200,0.00031407
L1637_3084,1637,3084,345.0,1.05,1200,0.00028113
L2378_3052,2378,3052,345.0,11.94,1200,0.00320916
L3050_3126,3050,3126,345.0,0.87,1200,0.00023329
L1638_1639,1638,1639,345.0,17.95,2400.0,0.00482587
L803_1624,803,1624,345.0,18.61,2400.0,0.00500356
L37_41,37,41,345.0,25.87,2400.0,0.00695477
L819_1365,819,1365,345.0,103.44,2400.0,0.02781066
L924_2236,924,2236,345.0,3.65,2400.0,0.00098249
L1620_1971,1620,1971,345.0,13.19,2400.0,0.00354487
L1608_1612,1608,1612,345.0,9.0,2400.0,0.00241949
L996_3037,996,3037,345.0,76.29,1200,0.02051064
L1634_3078,1634,3078,345.0,57.55,1200,0.01547315
L1599_2430,1599,2430,345.0,51.81,2400.0,0.01392844
L1596_1606,1596,1606,345.0,13.06,2400.0,0.00351199
L1680_2984,1680,2984,345.0,11.9,2400.0,0.00319864
L2953_3076,2953,3076,345.0,1.03,1200,0.00027682
L1572_3034,1572,3034,345.0,1.87,2400.0,0.00050252
L1558_1559,1558,1559,345.0,9.43,2400.0,0.0025363
L1597_1605,1597,1605,345.0,18.42,2400.0,0.00495116
L827_3064,827,3064,345.0,36.48,1200,0.00980861
