Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
628,OSM_628,SPL_628,115.0,PQ,0.0,0.0,7,7,G,42.1489,-74.48608,197444701.0,False
629,OSM_629,SPL_629,115.0,PQ,0.0,0.0,5,5,E,42.19632,-74.74383,197402680.0,False
630,OSM_630,SPL_630,115.0,PQ,0.0,0.0,5,5,E,42.27754,-74.93456,197389032.0,False
632,OSM_632,SPL_632,115.0,PQ,0.0,0.0,7,7,G,41.5398,-73.8295,188839533.0,False
633,OSM_633,SPL_633,115.0,PQ,0.0,0.0,2,2,B,42.75316,-77.83679,187031281.0,False
634,OSM_634,SPL_634,115.0,PQ,0.0,0.0,7,7,G,41.41771,-73.64066,182673234.0,False
635,OSM_635,SPL_635,115.0,PQ,0.0,0.0,2,2,B,42.14769,-77.08729,180022057.0,False
636,OSM_636,SPL_636,115.0,PQ,0.0,0.0,2,2,B,42.05969,-76.78703,179902922.0,False
638,OSM_638,SPL_638,115.0,PQ,0.0,0.0,2,2,B,42.57631,-77.45742,179302123.0,False
639,OSM_639,SPL_639,115.0,PQ,0.0,0.0,1,1,A,43.08378,-79.02795,178198070.0,False
642,OSM_642,SPL_642,115.0,PQ,0.0,0.0,7,7,G,41.74104,-73.83246,176702521.0,False
643,OSM_643,SPL_643,115.0,PQ,0.0,0.0,7,7,G,41.57343,-73.96528,176696227.0,False
644,OSM_644,SPL_644,115.0,PQ,0.0,0.0,7,7,G,41.57542,-74.07778,176696219.0,False
645,OSM_645,SPL_645,115.0,PQ,0.0,0.0,3,3,C,42.52069,-76.13939,175668433.0,False
646,OSM_646,SPL_646,115.0,PQ,0.0,0.0,7,7,G,41.92824,-74.84977,175620362.0,False
647,OSM_647,SPL_647,115.0,PQ,0.0,0.0,4,4,D,43.84553,-73.446,169510877.0,False
648,OSM_648,SPL_648,115.0,PQ,0.0,0.0,2,2,B,42.19558,-76.81095,163670977.0,False
649,OSM_649,SPL_649,115.0,PQ,0.0,0.0,5,5,E,42.96065,-73.78039,162320148.0,False
650,OSM_650,SPL_650,115.0,PQ,0.0,0.0,6,6,F,42.67578,-73.69845,161619816.0,False
652,OSM_652,SPL_652,115.0,PQ,0.0,0.0,2,2,B,43.06326,-77.07288,150255958.0,False
653,OSM_653,SPL_653,115.0,PQ,0.0,0.0,2,2,B,43.08725,-77.43275,149788133.0,False
654,OSM_654,SPL_654,115.0,PQ,0.0,0.0,1,1,A,42.07317,-78.3902,149760560.0,False
655,OSM_655,SPL_655,115.0,PQ,0.0,0.0,1,1,A,42.10687,-79.1997,149329465.0,False
658,OSM_658,SPL_658,115.0,PQ,0.0,0.0,1,1,A,42.81828,-78.85215,149009707.0,False
659,OSM_659,SPL_659,115.0,PQ,0.0,0.0,1,1,A,42.81223,-78.84836,149009620.0,False
660,OSM_660,SPL_660,115.0,PQ,0.0,0.0,1,1,A,42.82069,-78.83902,149002299.0,False
662,OSM_662,SPL_662,115.0,PQ,0.0,0.0,1,1,A,42.8309,-78.78049,148891199.0,False
664,OSM_664,SPL_664,115.0,PQ,0.0,0.0,1,1,A,43.08423,-79.0096,148653458.0,False
669,OSM_669,SPL_669,115.0,PQ,0.0,0.0,1,1,A,42.50927,-78.47623,148530670.0,False
671,OSM_671,SPL_671,115.0,PQ,0.0,0.0,2,2,B,42.65382,-78.07711,148499456.0,False
677,OSM_677,SPL_677,115.0,PQ,0.0,0.0,1,1,A,42.96292,-78.76281,148098026.0,False
682,OSM_682,SPL_682,115.0,PQ,0.0,0.0,2,2,B,43.06316,-78.27763,147499299.0,False
684,OSM_684,SPL_684,115.0,PQ,0.0,0.0,1,1,A,43.14153,-78.93649,147380637.0,False
686,OSM_686,SPL_686,115.0,PQ,0.0,0.0,1,1,A,43.16174,-78.7386,146666493.0,False
688,OSM_688,SPL_688,115.0,PQ,0.0,0.0,1,1,A,43.15895,-78.71772,146664496.0,False
689,OSM_689,SPL_689,230.0,PQ,0.0,0.0,2,2,B,42.6699,-78.22774,146647696.0,False
690,OSM_690,SPL_690,115.0,PQ,0.0,0.0,1,1,A,42.81268,-78.60817,146641912.0,False
693,OSM_693,SPL_693,115.0,PQ,0.0,0.0,1,1,A,43.00057,-78.64865,146497275.0,False
694,OSM_694,SPL_694,115.0,PQ,0.0,0.0,1,1,A,42.96504,-78.89264,146490482.0,False
698,OSM_698,SPL_698,115.0,PQ,0.0,0.0,6,6,F,42.74064,-73.64974,142993760.0,False
699,OSM_699,SPL_699,115.0,PQ,0.0,0.0,5,5,E,43.24939,-73.80895,142856223.0,False
701,OSM_701,SPL_701,115.0,PQ,0.0,0.0,4,4,D,43.48577,-73.78569,142217252.0,False
703,OSM_703,SPL_703,115.0,PQ,0.0,0.0,4,4,D,44.99059,-73.37338,141161322.0,False
704,OSM_704,SPL_704,115.0,PQ,0.0,0.0,4,4,D,44.98078,-73.41787,141160510.0,False
709,OSM_709,SPL_709,115.0,PQ,0.0,0.0,4,4,D,44.71249,-73.45917,139809010.0,False
710,OSM_710,SPL_710,115.0,PQ,0.0,0.0,2,2,B,43.07063,-77.42122,139322774.0,False
711,OSM_711,SPL_711,115.0,PQ,0.0,0.0,5,5,E,41.9606,-75.29489,138889949.0,False
716,OSM_716,SPL_716,115.0,PQ,0.0,0.0,1,1,A,43.14764,-78.71462,118672048.0,False
717,OSM_717,SPL_717,115.0,PQ,0.0,0.0,2,2,B,42.97198,-78.00842,117208265.0,False
718,OSM_718,SPL_718,115.0,PQ,0.0,0.0,3,3,C,42.11157,-75.97588,115576639.0,False
720,OSM_720,SPL_720,115.0,PQ,0.0,0.0,2,2,B,42.82859,-77.02885,114751058.0,False
721,OSM_721,SPL_721,115.0,PQ,0.0,0.0,2,2,B,42.67946,-76.95076,114751052.0,False
722,OSM_722,SPL_722,115.0,PQ,0.0,0.0,2,2,B,42.02918,-76.62227,114037155.0,False
724,OSM_724,SPL_724,115.0,PQ,0.0,0.0,1,1,A,42.96042,-78.76287,99659465.0,False
726,OSM_726,SPL_726,115.0,PQ,0.0,0.0,1,1,A,42.91889,-78.62073,90282401.0,False
727,OSM_727,SPL_727,345.0,PQ,0.0,0.0,7,7,G,41.5635,-73.95467,86220649.0,False
728,OSM_728,SPL_728,115.0,PQ,0.0,0.0,1,1,A,42.91832,-78.76796,49924084.0,False
729,OSM_729,SPL_729,345.0,PQ,0.0,0.0,3,3,C,42.14712,-75.98419,,True
730,OSM_730,SPL_730,345.0,PQ,0.0,0.0,3,3,C,42.96967,-76.11193,,True
731,OSM_731,SPL_731,345.0,PQ,0.0,0.0,5,5,E,42.43138,-74.43311,,True
732,OSM_732,SPL_732,345.0,PQ,0.0,0.0,7,7,G,41.26542,-73.98024,,True
733,OSM_733,SPL_733,345.0,PQ,0.0,0.0,7,7,G,41.7993,-74.80079,,True
734,OSM_734,SPL_734,345.0,PQ,0.0,0.0,7,7,G,41.26522,-73.97823,,True
735,OSM_735,SPL_735,345.0,PQ,0.0,0.0,1,1,A,43.10502,-78.56366,,True
736,OSM_736,SPL_736,345.0,PQ,0.0,0.0,3,3,C,43.50621,-76.41311,,True
