GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,POPULATION,LOAD_MW
75773,461939111,13190325,178.356,5.093,32.681453,-95.447702,14305,28.61
75778,145759194,2861912,56.278,1.105,32.300926,-95.709837,2468,4.936
75779,2228963,9478,0.861,0.004,31.863226,-95.484612,110,0.22
75780,3254731,0,1.257,0.0,31.991023,-95.091846,242,0.484
75783,315574556,22582284,121.844,8.719,32.816459,-95.424768,8118,16.236
75784,99966857,70026,38.597,0.027,31.872135,-94.974153,708,1.416
75785,692777939,593545,267.483,0.229,31.775433,-95.19655,10931,21.862
75788,8815885,0,3.404,0.0,31.825939,-94.925873,25,0.05
75789,489288261,4344513,188.915,1.677,32.109512,-95.094194,8379,16.758
75790,95198560,1068454,36.756,0.413,32.535169,-95.643977,3656,7.312
75791,99801766,6806777,38.534,2.628,32.221677,-95.220676,13952,27.904
75792,244158968,3633777,94.27,1.403,32.4761,-95.100668,2861,5.722
75801,555812010,6494497,214.6,2.508,31.734462,-95.531204,15808,31.616
75803,861026591,11467073,332.444,4.427,31.881777,-95.679494,21511,43.022
75831,660839169,3481780,255.151,1.344,31.473667,-96.009365,6155,12.31
75832,43135122,1213083,16.655,0.468,31.932016,-95.980741,0,0.0
75833,635015826,1161948,245.181,0.449,31.268635,-95.843907,2448,4.896
75835,1165514306,4306019,450.008,1.663,31.284891,-95.490625,11425,22.85
75838,181152801,682883,69.943,0.264,31.4789,-96.229757,679,1.358
75839,381889902,3886776,147.449,1.501,31.606693,-95.58334,6398,12.796
75840,707904480,11515333,273.323,4.446,31.782559,-96.093621,6297,12.594
75844,931356064,8300268,359.599,3.205,31.513801,-95.437616,5632,11.264
75845,820388171,808565,316.754,0.312,31.087576,-95.076959,3129,6.258
75846,377435386,16228502,145.729,6.266,31.328853,-96.152369,2944,5.888
75847,627616744,579727,242.324,0.224,31.356209,-95.152898,1745,3.49
75848,512380,0,0.198,0.0,31.765238,-96.329928,100,0.2
75849,4939683,0,1.907,0.0,31.417411,-95.481647,51,0.102
75850,184843780,369649,71.369,0.143,31.135677,-95.935045,1387,2.774
75851,672021995,2502561,259.469,0.966,31.092367,-95.499937,4916,9.832
75852,446228389,9745690,172.29,3.763,30.959521,-95.715509,3634,7.268
75853,193208733,2248851,74.598,0.868,31.946872,-95.814466,559,1.118
75855,704585599,5706944,272.042,2.203,31.557331,-95.863641,2952,5.904
75856,66055057,0,25.504,0.0,31.188898,-95.255739,171,0.342
75858,1190451,0,0.46,0.0,31.390774,-95.126654,0,0.0
75859,305686494,48532792,118.026,18.739,31.893076,-96.236904,1825,3.65
75860,439373319,1378965,169.643,0.532,31.61135,-96.238051,6351,12.702
75861,296637589,5179455,114.532,2.0,31.851579,-95.888459,9081,18.162
75862,639799003,53813766,247.028,20.778,30.964728,-95.325895,10115,20.23
75901,418238503,9424623,161.483,3.639,31.301675,-94.641408,29148,58.296
75904,368251588,4049581,142.183,1.564,31.340325,-94.826061,35208,70.416
75925,612743793,1803235,236.582,0.696,31.614855,-95.062493,3913,7.826
75926,304667384,639288,117.633,0.247,31.248085,-94.969099,1207,2.414
75928,233969216,1731667,90.336,0.669,30.671395,-93.71134,1318,2.636
75929,343408650,116362727,132.591,44.928,31.245162,-94.175514,1653,3.306
75930,349103189,38509662,134.79,14.869,31.327534,-94.031144,1655,3.31
75931,145079059,52700201,56.015,20.348,31.113664,-94.021385,1967,3.934
75932,324779256,9584963,125.398,3.701,31.056147,-93.615655,1628,3.256
75933,192592802,685364,74.36,0.265,30.553812,-93.812696,1049,2.098
75934,19139312,276156,7.39,0.107,30.895058,-94.759121,201,0.402
75935,917625024,8008839,354.297,3.092,31.732513,-94.19129,12994,25.988
75936,325244246,0,125.578,0.0,30.952076,-94.579622,951,1.902
75937,174639280,3417013,67.429,1.319,31.465326,-94.367317,1033,2.066
75938,481695822,13640968,185.984,5.267,30.940517,-94.35364,2425,4.8500000000000005
