ZCTA,LAT,LON,POP,LOAD_MW
11970,40.938952,-72.577539,391,0.782
11971,41.064037,-72.430926,6073,12.146
11972,40.847825,-72.702889,983,1.966
11973,40.86772,-72.882721,37,0.074
11975,40.941107,-72.244466,170,0.34
11976,40.922393,-72.350704,1847,3.694
11977,40.828481,-72.679186,2629,5.258
11978,40.826323,-72.649008,2981,5.962
11980,40.831296,-72.923154,5966,11.932
12007,42.455665,-73.927143,10,0.02
12008,42.853488,-73.906535,542,1.084
12009,42.697723,-74.03535,7690,15.38
12010,42.937632,-74.173325,27556,55.112
12015,42.294057,-73.825116,3347,6.694
12017,42.32111,-73.455997,445,0.89
12018,42.628833,-73.520771,7112,14.224
12019,42.934351,-73.881808,14244,28.488
12020,43.001589,-73.868123,33235,66.47
12022,42.656951,-73.333879,652,1.304
12023,42.598558,-74.183022,2376,4.752
12024,42.476788,-73.533278,0,0.0
12025,43.083507,-74.138532,5331,10.662
12027,42.935415,-73.907815,3996,7.992
12028,42.934442,-73.442269,707,1.414
12029,42.41595,-73.424961,1082,2.164
12031,42.761684,-74.449311,174,0.34800000000000003
12032,43.141894,-74.524929,753,1.506
12033,42.543138,-73.705499,8152,16.304000000000002
12035,42.730427,-74.359221,579,1.158
12036,42.541514,-74.673053,252,0.504
12037,42.344725,-73.567126,4489,8.978
12040,42.63735,-73.350721,87,0.17400000000000002
12041,42.577943,-73.95266,681,1.362
12042,42.416518,-73.938206,233,0.466
12043,42.69397,-74.530506,8202,16.404
12045,42.482555,-73.800532,449,0.898
12046,42.50913,-73.917246,1103,2.206
12047,42.784054,-73.726219,21453,42.906
12051,42.345522,-73.842543,6769,13.538
12052,42.758962,-73.480657,1921,3.842
12053,42.75747,-74.191095,4611,9.222
12054,42.608547,-73.864416,16948,33.896
12056,42.764785,-74.09515,2543,5.086
12057,42.968892,-73.346287,2176,4.352
12058,42.344418,-73.917633,971,1.942
12059,42.619223,-74.060881,1719,3.438
12060,42.410631,-73.505286,1687,3.374
12061,42.599312,-73.657175,9725,19.45
12062,42.538976,-73.504976,1601,3.202
12063,42.567308,-73.639545,770,1.54
12064,42.614166,-74.655719,307,0.614
12065,42.852284,-73.785597,42432,84.864
12066,42.790105,-74.352762,1837,3.674
12067,42.557461,-73.920294,1554,3.108
12068,42.956069,-74.401829,3029,6.058
12069,42.946036,-74.279938,294,0.588
12070,42.986022,-74.26301,1974,3.948
12071,42.552657,-74.422661,319,0.638
12072,42.884893,-74.356737,3065,6.13
12074,43.054217,-74.030006,2957,5.914
12075,42.299922,-73.633627,2530,5.0600000000000005
12076,42.410272,-74.395734,1188,2.376
12077,42.58817,-73.777693,6488,12.976
12078,43.134351,-74.339632,22956,45.912
12083,42.424859,-74.026509,3830,7.66
12084,42.704669,-73.899364,4806,9.612
12085,42.703313,-73.963261,430,0.86
12086,43.009011,-74.086384,1379,2.758
12087,42.43225,-73.892894,1069,2.138
12089,42.867493,-73.312753,61,0.122
12090,42.876802,-73.351525,5931,11.862
12092,42.697829,-74.375418,1008,2.016
12093,42.497791,-74.628105,1602,3.204
12094,42.899406,-73.490162,2260,4.5200000000000005
12095,43.024817,-74.403815,11986,23.972
12106,42.389554,-73.710951,2299,4.598
12108,43.573248,-74.451487,354,0.708
12110,42.750565,-73.776095,21223,42.446
12115,42.477302,-73.576699,59,0.11800000000000001
12116,42.538795,-74.911164,1506,3.012
12117,43.167143,-74.261237,3163,6.3260000000000005
12118,42.915739,-73.71339,16467,32.934
12120,42.449724,-74.148844,733,1.466
12121,42.839913,-73.60738,2110,4.22
12122,42.54202,-74.326145,4137,8.274000000000001
12123,42.543141,-73.605525,5120,10.24
12124,42.450364,-73.794956,545,1.09
12125,42.484748,-73.399844,1084,2.168
12130,42.442223,-73.65938,892,1.784
12131,42.453371,-74.463913,98,0.196
12132,42.470521,-73.630031,352,0.704
12134,43.269201,-74.228185,4232,8.464
12136,42.420121,-73.565107,658,1.316
12137,42.860344,-74.133085,1993,3.986
12138,42.748836,-73.370379,3156,6.312
12139,43.500221,-74.579544,142,0.28400000000000003
12140,42.694185,-73.553155,1681,3.362
12143,42.49156,-73.84266,5032,10.064
12144,42.627836,-73.717842,20604,41.208
12147,42.518611,-74.15884,495,0.99
12148,42.827793,-73.848164,4143,8.286
12149,42.616654,-74.563446,2358,4.716
12150,42.880523,-74.052689,849,1.698
12151,42.922697,-73.787225,1302,2.604
12153,42.63222,-73.4722,809,1.618
12154,42.937482,-73.605806,3249,6.498
12155,42.596357,-74.827655,1979,3.958
12156,42.483504,-73.747254,752,1.504
12157,42.669798,-74.286077,4597,9.194
12158,42.542158,-73.822091,6550,13.1
12159,42.651428,-73.885894,7971,15.942
12160,42.761621,-74.383152,841,1.682
12161,42.534769,-73.854863,183,0.366
12164,43.57604,-74.356232,402,0.804
12165,42.305909,-73.504176,200,0.4
12166,42.833587,-74.445509,1145,2.29
12167,42.424941,-74.578045,2663,5.3260000000000005
12168,42.560862,-73.380714,1993,3.986
12169,42.592887,-73.448036,353,0.706
12170,43.001956,-73.667271,5034,10.068
12172,42.289153,-73.739439,187,0.374
12173,42.380013,-73.75966,2139,4.2780000000000005
12174,42.353449,-73.728436,526,1.052
12175,42.544369,-74.55622,639,1.278
12176,42.382017,-73.980862,373,0.746
12177,42.950858,-74.287087,547,1.094
12180,42.748588,-73.599536,53181,106.36200000000001
12182,42.800534,-73.627434,13886,27.772000000000002
12183,42.747904,-73.692466,2647,5.2940000000000005
12184,42.419893,-73.653359,6762,13.524000000000001
12185,42.862521,-73.554112,2007,4.014
12186,42.633112,-73.977172,6190,12.38
